Date,Item Name,Lowest Price,Average Price,Highest Price,Items Count
9/22/24,R4C Glacier,55000,75150,80000,10
9/23/24,R4C Glacier,68000,74225,79000,8
9/24/24,R4C Glacier,149,64523,79990,6
9/25/24,R4C Glacier,70000,74926,80000,14
9/26/24,R4C Glacier,65000,75569,80000,16
9/27/24,R4C Glacier,64000,76214,82999,14
9/28/24,R4C Glacier,70000,77587,83000,17
9/29/24,R4C Glacier,70000,75727,80000,11
9/30/24,R4C Glacier,73000,77135,79999,5
10/1/24,R4C Glacier,265,70090,80000,14
10/2/24,R4C Glacier,545,71195,80000,12
10/3/24,R4C Glacier,78000,79999,82000,7
10/4/24,R4C Glacier,71000,79648,83334,13
10/5/24,R4C Glacier,188,61306,83000,14
10/6/24,R4C Glacier,279,73034,83999,8
10/7/24,R4C Glacier,300,68037,79999,8
10/8/24,R4C Glacier,121,71329,80000,14
10/9/24,R4C Glacier,70000,76221,80000,9
10/10/24,R4C Glacier,68000,74662,79999,12
10/11/24,R4C Glacier,282,74192,82000,17
10/12/24,R4C Glacier,150,66905,82999,9
10/13/24,R4C Glacier,231,63780,82888,12
10/14/24,R4C Glacier,274,72236,85000,15
10/15/24,R4C Glacier,88,57533,84999,7
10/16/24,R4C Glacier,60000,77090,85000,11
10/17/24,R4C Glacier,70000,77631,80000,15
10/18/24,R4C Glacier,69000,73333,81000,9
10/19/24,R4C Glacier,70000,74875,80000,8
10/20/24,R4C Glacier,56,58610,79999,5
10/21/24,R4C Glacier,70000,77274,81000,17
10/22/24,R4C Glacier,87,81000,59503,12
10/23/24,R4C Glacier,72000,77596,81111,9
10/24/24,R4C Glacier,10,57239,80000,9
10/25/24,R4C Glacier,7800,66133,80000,6
10/26/24,R4C Glacier,54900,70439,75000,10
10/27/24,R4C Glacier,10,59638,77000,11
10/28/24,R4C Glacier,10,59638,77000,11
10/29/24,R4C Glacier,60000,74855,79995,7
10/30/24,R4C Glacier,67000,76624,80000,8
10/31/24,R4C Glacier,10,53350,80000,6
11/1/24,R4C Glacier,79999,79999,80000,4
11/2/24,R4C Glacier,,,,
11/3/24,R4C Glacier,,,,
11/4/24,R4C Glacier,,,,
11/5/24,R4C Glacier,,,,
11/6/24,R4C Glacier,,,,
11/7/24,R4C Glacier,,,,
11/8/24,R4C Glacier,,,,
11/9/24,R4C Glacier,,,,
11/10/24,R4C Glacier,,,,
11/11/24,R4C Glacier,,,,
11/12/24,R4C Glacier,,,,
11/13/24,R4C Glacier,,,,
